Player,Squad,SoTA_per90,Save%
Emiliano Martínez,ar Argentina,3.111111111111111,71.4
Patrick Beach,au Australia,3.953488372093024,82.4
Nikola Vasilj,ba Bosnia–Herz,3.5,42.9
Thibaut Courtois,be Belgium,3.278688524590164,70.0
Alisson,br Brazil,3.6,77.8
Maxime Crépeau,ca Canada,2.4,50.0
Gregor Kobel,ch Switzerland,3.880597014925373,76.9
Yahia Fofana,ci Côte d'Ivoire,3.25,69.2
Camilo Vargas,co Colombia,1.3207547169811322,85.7
Manuel Neuer,de Germany,2.3255813953488373,50.0
Hernán Galíndez,ec Ecuador,3.25,69.2
Mostafa Shobeir,eg Egypt,3.5849056603773586,63.2
Jordan Pickford,eng England,3.150684931506849,65.2
Unai Simón,es Spain,1.325301204819277,90.9
Mike Maignan,fr France,2.75,54.5
Yassine Bounou,ma Morocco,3.174603174603175,70.0
Raúl Rangel,mx Mexico,2.2448979591836733,72.7
Orlando Mosquera,pa Panama,3.6666666666666665,63.6
Mory Diaw,sn Senegal,2.692307692307692,57.1
Matt Freese,us USA,3.25,61.5
Fernando Muslera,uy Uruguay,3.2,50.0
Ronwen Williams,za South Africa,3.75,73.3
