,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PK_Save%,Matches,-9999
1,Yazeed Abulaila,GK,jo Jordan,33,1.jo Al-Hussein SC,1993,3,3,270,3.0,8,2.67,16,8,50.0,0,0,3,0,0.0,2,2,0,0,0.0,Matches,5d11fc17
2,Mahmoud Abunada,GK,qa Qatar,26,1.qa Al Rayyan SC,2000,3,3,270,3.0,10,3.33,22,12,54.5,0,1,2,0,0.0,1,1,0,0,0.0,Matches,27e7e545
3,Alisson,GK,br Brazil,33,1.eng Liverpool,1992,5,5,450,5.0,4,0.80,18,14,77.8,3,1,1,2,40.0,0,0,0,0,,Matches,7a2e46a8
4,Benjamin Asare,GK,gh Ghana,33,1.gh Accra Hearts of Oak,1992,3,2,225,2.5,2,0.80,10,8,80.0,0,1,1,2,100.0,0,0,0,0,,Matches,4bb65492
5,Lawrence Ati-Zigi,GK,gh Ghana,29,1.ch St. Gallen,1996,2,2,135,1.5,1,0.67,9,8,88.9,1,0,1,1,50.0,0,0,0,0,,Matches,a12402c3
6,Ahmed Basil,GK,iq Iraq,29,1.iq Al-Shorta,1996,2,2,135,1.5,4,2.67,7,3,42.9,0,0,2,0,0.0,0,0,0,0,,Matches,3bf9e631
7,Patrick Beach,GK,au Australia,22,1.au Melb City,2003,4,4,388,4.3,3,0.70,17,14,82.4,1,2,1,2,50.0,0,0,0,0,,Matches,3cc64624
8,Alireza Beiranvand,GK,ir IR Iran,33,1.ir Tractor,1992,3,3,270,3.0,3,1.00,18,15,83.3,0,3,0,1,33.3,0,0,0,0,,Matches,6ca0b04a
9,Oussama Benbot,GK,dz Algeria,31,1.dz USM Alger,1994,1,1,90,1.0,3,3.00,3,0,0.0,0,1,0,0,0.0,0,0,0,0,,Matches,dcae580c
10,Yassine Bounou,GK,ma Morocco,35,1.sa Al-Hilal,1991,6,6,570,6.3,6,0.95,20,14,70.0,3,2,1,2,33.3,1,0,1,0,100.0,Matches,f6798fc3
11,Uğurcan Çakır,GK,tr Türkiye,30,1.tr Galatasaray,1996,3,3,270,3.0,5,1.67,13,8,61.5,1,0,2,0,0.0,0,0,0,0,,Matches,f63a8347
12,Mouhib Chamakh,GK,tn Tunisia,24,1.tn Club Africain,2001,1,1,90,1.0,5,5.00,6,1,16.7,0,0,1,0,0.0,0,0,0,0,,Matches,9627f87b
13,Diogo Costa,GK,pt Portugal,26,1.pt Porto,1999,5,5,450,5.0,3,0.60,22,19,86.4,2,2,1,2,40.0,0,0,0,0,,Matches,93fffbcf
14,Thibaut Courtois,GK,be Belgium,34,1.es Real Madrid,1992,6,6,550,6.1,6,0.98,20,14,70.0,3,2,1,1,16.7,0,0,0,0,,Matches,1840e36d
15,Maxime Crépeau,GK,ca Canada,32,1.us Orlando City,1994,5,5,450,5.0,6,1.20,12,6,50.0,2,1,2,2,40.0,0,0,0,0,,Matches,ea42e480
16,Max Crocombe,GK,nz New Zealand,32,2.eng Millwall,1993,3,3,270,3.0,10,3.33,21,11,52.4,0,1,2,0,0.0,0,0,0,0,,Matches,fdf47077
17,Aymen Dahmen,GK,tn Tunisia,29,1.tn Ahly Sfaxien,1997,2,2,180,2.0,7,3.50,12,5,41.7,0,0,2,0,0.0,0,0,0,0,,Matches,8bf49030
18,Mory Diaw,GK,sn Senegal,32,1.fr Le Havre,1993,3,2,238,2.6,3,1.13,7,4,57.1,1,0,1,1,50.0,1,1,0,0,0.0,Matches,f41a69e6
19,Yahia Fofana,GK,ci Côte d'Ivoire,25,1.tr Rizespor,2000,4,4,360,4.0,4,1.00,13,9,69.2,2,0,2,2,50.0,0,0,0,0,,Matches,9d420dad
20,Matt Freese,GK,us USA,27,1.us NYCFC,1998,4,4,360,4.0,5,1.25,13,8,61.5,3,0,1,2,50.0,0,0,0,0,,Matches,2f49476c
21,Hernán Galíndez,GK,ec Ecuador,39,1.ar Huracán,1987,4,4,360,4.0,4,1.00,13,9,69.2,1,1,2,1,25.0,0,0,0,0,,Matches,89c136f6
22,Orlando Gill,GK,py Paraguay,26,1.py San Lorenzo,2000,5,5,480,5.3,6,1.13,29,23,79.3,1,2,2,2,40.0,1,1,0,0,0.0,Matches,0d425331
23,Angus Gunn,GK,sct Scotland,30,1.eng Nottingham,1996,3,3,270,3.0,4,1.33,12,8,66.7,1,0,2,1,33.3,0,0,0,0,,Matches,e082af5b
24,Jalal Hassan,GK,iq Iraq,35,1.iq Al-Zawra'a SC,1991,2,1,135,1.5,8,5.33,16,8,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,87351c2e
25,Dean Henderson,GK,eng England,29,1.eng Crystal Palace,1997,1,1,90,1.0,4,4.00,9,5,55.6,1,0,0,0,0.0,0,0,0,0,,Matches,e5a76dfe
26,Gregor Kobel,GK,ch Switzerland,28,1.de Dortmund,1997,6,6,600,6.7,6,0.90,26,20,76.9,3,2,1,2,33.3,0,0,0,0,,Matches,cd59b9df
27,Matej Kovar,GK,cz Czechia,26,1.nl PSV,2000,3,3,270,3.0,6,2.00,15,9,60.0,0,1,2,0,0.0,1,1,0,0,0.0,Matches,bc67a0e1
28,Senne Lammens,GK,be Belgium,23,1.eng Manchester Utd,2002,1,0,20,0.2,1,4.50,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches,8e6d2fcd
29,Dominik Livaković,GK,hr Croatia,31,1.hr Dinamo Zagreb,1995,4,4,360,4.0,7,1.75,17,10,58.8,2,0,2,1,25.0,2,2,0,0,0.0,Matches,58f077c0
30,Mike Maignan,GK,fr France,30,1.it Milan,1995,8,8,720,8.0,10,1.25,22,12,54.5,6,0,2,4,50.0,3,2,1,0,33.3,Matches,fcb38f57
31,Emiliano Martínez,GK,ar Argentina,33,1.eng Aston Villa,1992,8,8,810,9.0,8,0.89,28,20,71.4,7,0,1,2,25.0,0,0,0,0,,Matches,7956236f
32,Édouard Mendy,GK,sn Senegal,34,1.sa Al-Ahli,1992,2,2,152,1.7,6,3.55,14,8,57.1,0,0,2,0,0.0,0,0,0,0,,Matches,33887998
33,Orlando Mosquera,GK,pa Panama,31,1.sa Al-Fayha,1994,3,3,270,3.0,4,1.33,11,7,63.6,0,0,3,0,0.0,0,0,0,0,,Matches,ea34d827
34,Lionel Mpasi,GK,cd Congo DR,31,1.fr Le Havre,1994,4,4,360,4.0,5,1.25,19,14,73.7,1,1,2,0,0.0,0,0,0,0,,Matches,5c6b0637
35,Fernando Muslera,GK,uy Uruguay,39,1.tr Galatasaray,1986,3,3,225,2.5,4,1.60,8,4,50.0,0,2,1,0,0.0,0,0,0,0,,Matches,a2abe631
36,Abduvohid Nematov,GK,uz Uzbekistan,25,1.uz FC Nasaf,2001,2,2,180,2.0,8,4.00,13,5,38.5,0,0,2,0,0.0,1,1,0,0,0.0,Matches,25e45f2a
37,Manuel Neuer,GK,de Germany,40,1.de Bayern Munich,1986,4,4,390,4.3,5,1.15,10,5,50.0,2,1,1,0,0.0,0,0,0,0,,Matches,8778c910
38,Kristoffer Nordfeldt,GK,se Sweden,36,1.se AIK Stockholm,1989,2,2,180,2.0,6,3.00,9,3,33.3,1,0,1,0,0.0,0,0,0,0,,Matches,78549904
39,Ørjan Nyland,GK,no Norway,35,1.es Sevilla,1990,5,5,480,5.3,7,1.31,22,15,68.2,4,0,1,0,0.0,2,1,1,0,50.0,Matches,bdedffac
40,Guillermo Ochoa,GK,mx Mexico,40,1.cy AEL Limassol,1985,1,0,13,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches,1e9bde92
41,Mohammed Al-Owais,GK,sa Saudi Arabia,34,1.sa Al-Ula,1991,3,3,270,3.0,5,1.67,21,16,76.2,0,2,1,1,33.3,0,0,0,0,,Matches,f2c060c6
42,Jordan Pickford,GK,eng England,32,1.eng Everton,1994,7,7,660,7.3,8,1.09,23,15,65.2,5,1,1,2,28.6,1,1,0,0,0.0,Matches,4806ec67
43,Johny Placide,GK,ht Haiti,38,2.fr Bastia,1988,3,3,270,3.0,8,2.67,19,11,57.9,0,0,3,0,0.0,0,0,0,0,,Matches,f1666a9d
44,Raúl Rangel,GK,mx Mexico,26,1.mx Guadalajara,2000,5,5,437,4.9,3,0.62,11,8,72.7,4,0,1,4,80.0,1,1,0,0,0.0,Matches,15f733fb
45,Sergio Rochet,GK,uy Uruguay,33,1.br Internacional,1993,1,0,45,0.5,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches,81b99b9e
46,Eloy Room,GK,cw Curaçao,37,2.us Miami FC,1989,3,3,270,3.0,9,3.00,29,20,69.0,0,1,2,1,33.3,1,1,0,0,0.0,Matches,6b33d86b
47,Mathew Ryan,GK,au Australia,34,1.es Levante,1992,1,0,2,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches,4535e4bb
48,Alexander Schlager,GK,at Austria,30,1.at RB Salzburg,1996,4,4,360,4.0,9,2.25,22,13,59.1,1,1,2,0,0.0,1,0,0,1,,Matches,6fe5c35b
49,Egil Selvik,GK,no Norway,28,2.eng Watford,1997,1,1,90,1.0,4,4.00,9,5,55.6,0,0,1,0,0.0,0,0,0,0,,Matches,05d89c1c
50,Kim Seung-gyu,GK,kr Korea Republic,35,1.jp FC Tokyo,1990,3,3,270,3.0,3,1.00,12,9,75.0,1,0,2,0,0.0,0,0,0,0,,Matches,eabaafa6
51,Mostafa Shobeir,GK,eg Egypt,26,1.eg Al Ahly,2000,5,5,480,5.3,7,1.31,19,12,63.2,1,3,1,0,0.0,2,0,2,0,100.0,Matches,0cb1d2ba
52,Unai Simón,GK,es Spain,29,1.es Athletic Club,1997,8,8,750,8.3,1,0.12,11,9,90.9,7,1,0,7,87.5,0,0,0,0,,Matches,5dcf3e90
53,Zion Suzuki,GK,jp Japan,23,1.it Parma,2002,4,4,360,4.0,5,1.25,17,12,70.6,1,2,1,1,25.0,0,0,0,0,,Matches,51e1f4f5
54,Matt Turner,GK,us USA,31,1.us NE Revolution,1994,1,1,90,1.0,3,3.00,3,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches,4a51ba65
55,Camilo Vargas,GK,co Colombia,37,1.mx Atlas,1989,5,5,480,5.3,1,0.19,7,6,85.7,3,2,0,4,80.0,0,0,0,0,,Matches,004e3d0f
56,Nikola Vasilj,GK,ba Bosnia–Herz,30,1.de St Pauli,1995,4,4,360,4.0,8,2.00,14,6,42.9,1,1,2,0,0.0,1,1,0,0,0.0,Matches,f038585f
57,Bart Verbruggen,GK,nl Netherlands,23,1.eng Brighton,2002,4,4,390,4.3,5,1.15,21,16,76.2,2,2,0,0,0.0,0,0,0,0,,Matches,cf134113
58,Vozinha,GK,cv Cabo Verde,40,2.pt Chaves,1986,4,4,390,4.3,5,1.15,23,18,78.3,0,3,1,2,50.0,0,0,0,0,,Matches,dc04ac24
59,Jacob Widell Zetterström,GK,se Sweden,27,2.eng Derby County,1998,2,2,180,2.0,4,2.00,15,11,73.3,0,1,1,0,0.0,0,0,0,0,,Matches,ac5120d8
60,Ronwen Williams,GK,za South Africa,34,1.za Sundowns,1992,4,4,360,4.0,4,1.00,15,11,73.3,1,1,2,1,25.0,0,0,0,0,,Matches,a66cc153
61,Utkir Yusupov,GK,uz Uzbekistan,35,1.uz Navbahor,1991,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,Matches,31caffaf
62,Luca Zidane,GK,dz Algeria,28,2.es Granada,1998,3,3,270,3.0,6,2.00,14,8,57.1,1,0,2,0,0.0,0,0,0,0,,Matches,c818c4d9
