match_report,round,date,Stage,Total_Fouls
/en/matches/520a5665/England-Congo-DR-July-1-2026-World-Cup,Round of 32,2026-07-01,Knockout,22.0
/en/matches/a59cb59d/Bosnia-and-Herzegovina-Qatar-June-24-2026-World-Cup,Group stage,2026-06-24,Group Stage,23.0
/en/matches/a2c54ed9/Germany-Curacao-June-14-2026-World-Cup,Group stage,2026-06-14,Group Stage,29.0
/en/matches/89aea7f3/United-States-Bosnia-and-Herzegovina-July-1-2026-World-Cup,Round of 32,2026-07-01,Knockout,20.0
/en/matches/7382111b/Norway-Senegal-June-22-2026-World-Cup,Group stage,2026-06-22,Group Stage,18.0
/en/matches/eb19002c/Jordan-Algeria-June-22-2026-World-Cup,Group stage,2026-06-22,Group Stage,17.0
/en/matches/ded93e98/Colombia-Portugal-June-27-2026-World-Cup,Group stage,2026-06-27,Group Stage,18.0
/en/matches/816f4180/Netherlands-Sweden-June-20-2026-World-Cup,Group stage,2026-06-20,Group Stage,21.0
/en/matches/288fba4d/Spain-Austria-July-2-2026-World-Cup,Round of 32,2026-07-02,Knockout,23.0
/en/matches/02f675d6/Czechia-South-Africa-June-18-2026-World-Cup,Group stage,2026-06-18,Group Stage,22.0
/en/matches/3c1e3816/Mexico-South-Africa-June-11-2026-World-Cup,Group stage,2026-06-11,Group Stage,23.0
/en/matches/580cb771/United-States-Australia-June-19-2026-World-Cup,Group stage,2026-06-19,Group Stage,28.0
/en/matches/d7e30dec/Panama-England-June-27-2026-World-Cup,Group stage,2026-06-27,Group Stage,29.0
/en/matches/f26b468c/Czechia-Mexico-June-24-2026-World-Cup,Group stage,2026-06-24,Group Stage,22.0
/en/matches/c4104726/South-Africa-Canada-June-28-2026-World-Cup,Round of 32,2026-06-28,Knockout,26.0
/en/matches/17eda16a/Iraq-Norway-June-16-2026-World-Cup,Group stage,2026-06-16,Group Stage,25.0
/en/matches/c95830e9/Portugal-Congo-DR-June-17-2026-World-Cup,Group stage,2026-06-17,Group Stage,19.0
/en/matches/583c1910/Senegal-Iraq-June-26-2026-World-Cup,Group stage,2026-06-26,Group Stage,21.0
/en/matches/2a469714/Scotland-Morocco-June-19-2026-World-Cup,Group stage,2026-06-19,Group Stage,19.0
/en/matches/4a03a810/Norway-England-July-11-2026-World-Cup,Quarter-finals,2026-07-11,Knockout,18.0
/en/matches/f6c0596c/United-States-Paraguay-June-12-2026-World-Cup,Group stage,2026-06-12,Group Stage,30.0
/en/matches/8ad9833e/Paraguay-France-July-4-2026-World-Cup,Round of 16,2026-07-04,Knockout,24.0
/en/matches/43fec9f3/Germany-Cote-dIvoire-June-20-2026-World-Cup,Group stage,2026-06-20,Group Stage,12.0
/en/matches/c100284d/Spain-Cabo-Verde-June-15-2026-World-Cup,Group stage,2026-06-15,Group Stage,11.0
/en/matches/72d993fd/Brazil-Morocco-June-13-2026-World-Cup,Group stage,2026-06-13,Group Stage,30.0
/en/matches/bebca560/Netherlands-Morocco-June-29-2026-World-Cup,Round of 32,2026-06-29,Knockout,33.0
/en/matches/3329959e/Uzbekistan-Colombia-June-17-2026-World-Cup,Group stage,2026-06-17,Group Stage,25.0
/en/matches/675b328b/Argentina-Cabo-Verde-July-3-2026-World-Cup,Round of 32,2026-07-03,Knockout,25.0
/en/matches/6287f9c7/Congo-DR-Uzbekistan-June-27-2026-World-Cup,Group stage,2026-06-27,Group Stage,22.0
/en/matches/27695f4a/Tunisia-Japan-June-20-2026-World-Cup,Group stage,2026-06-20,Group Stage,23.0
/en/matches/d280258e/Cote-dIvoire-Norway-June-30-2026-World-Cup,Round of 32,2026-06-30,Knockout,13.0
/en/matches/28a6d770/Panama-Croatia-June-23-2026-World-Cup,Group stage,2026-06-23,Group Stage,31.0
/en/matches/fe9daeb3/Portugal-Spain-July-6-2026-World-Cup,Round of 16,2026-07-06,Knockout,22.0
/en/matches/c42ce3be/England-Croatia-June-17-2026-World-Cup,Group stage,2026-06-17,Group Stage,22.0
/en/matches/50a429da/Mexico-Korea-Republic-June-18-2026-World-Cup,Group stage,2026-06-18,Group Stage,16.0
/en/matches/c8fa19f5/Paraguay-Australia-June-25-2026-World-Cup,Group stage,2026-06-25,Group Stage,15.0
/en/matches/199a57aa/Switzerland-Canada-June-24-2026-World-Cup,Group stage,2026-06-24,Group Stage,32.0
/en/matches/a039dc32/IR-Iran-New-Zealand-June-15-2026-World-Cup,Group stage,2026-06-15,Group Stage,18.0
/en/matches/8d6d70b6/Cabo-Verde-Saudi-Arabia-June-26-2026-World-Cup,Group stage,2026-06-26,Group Stage,26.0
/en/matches/60dedabb/Canada-Qatar-June-18-2026-World-Cup,Group stage,2026-06-18,Group Stage,19.0
/en/matches/58c3106f/Haiti-Scotland-June-13-2026-World-Cup,Group stage,2026-06-13,Group Stage,44.0
/en/matches/358fd0fc/Turkiye-United-States-June-25-2026-World-Cup,Group stage,2026-06-25,Group Stage,26.0
/en/matches/aba06a2a/France-England-July-18-2026-World-Cup,Third-place match,2026-07-18,Knockout,22.0
/en/matches/58580af9/Qatar-Switzerland-June-13-2026-World-Cup,Group stage,2026-06-13,Group Stage,23.0
/en/matches/2307866a/Morocco-Haiti-June-24-2026-World-Cup,Group stage,2026-06-24,Group Stage,28.0
/en/matches/6df52cfd/Sweden-Tunisia-June-14-2026-World-Cup,Group stage,2026-06-14,Group Stage,18.0
/en/matches/acc93b55/Egypt-IR-Iran-June-26-2026-World-Cup,Group stage,2026-06-26,Group Stage,27.0
/en/matches/b2f307a9/Switzerland-Algeria-July-2-2026-World-Cup,Round of 32,2026-07-02,Knockout,22.0
/en/matches/4ff2342a/Australia-Turkiye-June-13-2026-World-Cup,Group stage,2026-06-13,Group Stage,16.0
/en/matches/3ccca695/Australia-Egypt-July-3-2026-World-Cup,Round of 32,2026-07-03,Knockout,26.0
/en/matches/cf968279/Belgium-Senegal-July-1-2026-World-Cup,Round of 32,2026-07-01,Knockout,34.0
/en/matches/48dd64d5/Uruguay-Spain-June-26-2026-World-Cup,Group stage,2026-06-26,Group Stage,28.0
/en/matches/bedbfe84/Spain-Argentina-July-19-2026-World-Cup,Final,2026-07-19,Knockout,46.0
/en/matches/82de5964/Saudi-Arabia-Uruguay-June-15-2026-World-Cup,Group stage,2026-06-15,Group Stage,17.0
/en/matches/311661a5/South-Africa-Korea-Republic-June-24-2026-World-Cup,Group stage,2026-06-24,Group Stage,16.0
/en/matches/48cce92a/Brazil-Haiti-June-19-2026-World-Cup,Group stage,2026-06-19,Group Stage,27.0
/en/matches/140e19d9/Austria-Jordan-June-16-2026-World-Cup,Group stage,2026-06-16,Group Stage,19.0
/en/matches/3ae43552/Argentina-Switzerland-July-11-2026-World-Cup,Quarter-finals,2026-07-11,Knockout,32.0
/en/matches/5f18a385/Belgium-Egypt-June-15-2026-World-Cup,Group stage,2026-06-15,Group Stage,30.0
/en/matches/2712fac7/France-Senegal-June-16-2026-World-Cup,Group stage,2026-06-16,Group Stage,14.0
