Match,TEAM,OPPONENT,STAGE,RESULT,PASSES COMPLETED,PASSES ATTEMPTED
2026-M001-MEX-RSA,Mexico,South Africa,Group Stage,W,495,547
2026-M001-MEX-RSA,South Africa,Mexico,Group Stage,L,290,351
2026-M002-KOR-CZE,Korea Republic,Czechia,Group Stage,W,483,542
2026-M002-KOR-CZE,Czechia,Korea Republic,Group Stage,L,241,327
2026-M003-CAN-BIH,Canada,Bosnia and Herzegovina,Group Stage,D,316,412
2026-M003-CAN-BIH,Bosnia and Herzegovina,Canada,Group Stage,D,186,279
2026-M004-USA-PAR,USA,Paraguay,Group Stage,W,520,602
2026-M004-USA-PAR,Paraguay,USA,Group Stage,L,234,316
2026-M005-HAI-SCO,Haiti,Scotland,Group Stage,L,378,431
2026-M005-HAI-SCO,Scotland,Haiti,Group Stage,W,324,397
2026-M006-AUS-TUR,Australia,Turkiye,Group Stage,W,224,293
2026-M006-AUS-TUR,Turkiye,Australia,Group Stage,L,663,722
2026-M007-BRA-MAR,Brazil,Morocco,Group Stage,D,457,514
2026-M007-BRA-MAR,Morocco,Brazil,Group Stage,D,431,503
2026-M008-QAT-SUI,Qatar,Switzerland,Group Stage,D,213,289
2026-M008-QAT-SUI,Switzerland,Qatar,Group Stage,D,542,591
2026-M009-CIV-ECU,Côte d'Ivoire,Ecuador,Group Stage,W,413,471
2026-M009-CIV-ECU,Ecuador,Côte d'Ivoire,Group Stage,L,438,513
2026-M010-GER-CUW,Germany,Curaçao,Group Stage,W,569,641
2026-M010-GER-CUW,Curaçao,Germany,Group Stage,L,291,362
2026-M011-NED-JPN,Netherlands,Japan,Group Stage,D,473,529
2026-M011-NED-JPN,Japan,Netherlands,Group Stage,D,302,356
2026-M012-SWE-TUN,Sweden,Tunisia,Group Stage,W,290,356
2026-M012-SWE-TUN,Tunisia,Sweden,Group Stage,L,299,370
2026-M013-KSA-URU,Saudi Arabia,Uruguay,Group Stage,D,243,331
2026-M013-KSA-URU,Uruguay,Saudi Arabia,Group Stage,D,566,623
2026-M014-ESP-CPV,Spain,Cabo Verde,Group Stage,D,755,811
2026-M014-ESP-CPV,Cabo Verde,Spain,Group Stage,D,227,306
2026-M015-IRN-NZL,IR Iran,New Zealand,Group Stage,D,333,417
2026-M015-IRN-NZL,New Zealand,IR Iran,Group Stage,D,378,448
2026-M016-BEL-EGY,Belgium,Egypt,Group Stage,D,415,476
2026-M016-BEL-EGY,Egypt,Belgium,Group Stage,D,339,411
2026-M017-FRA-SEN,France,Senegal,Group Stage,W,516,584
2026-M017-FRA-SEN,Senegal,France,Group Stage,L,453,521
2026-M018-IRQ-NOR,Iraq,Norway,Group Stage,L,286,347
2026-M018-IRQ-NOR,Norway,Iraq,Group Stage,W,493,548
2026-M019-ARG-ALG,Argentina,Algeria,Group Stage,W,517,578
2026-M019-ARG-ALG,Algeria,Argentina,Group Stage,L,578,634
2026-M020-AUT-JOR,Austria,Jordan,Group Stage,W,499,587
2026-M020-AUT-JOR,Jordan,Austria,Group Stage,L,254,344
2026-M021-GHA-PAN,Ghana,Panama,Group Stage,W,304,362
2026-M021-GHA-PAN,Panama,Ghana,Group Stage,L,526,597
