match_id,team,opponent,stage,Result_category,Passing_Accuracy
2026-M089-PAR-FRA,France,Paraguay,Round of 16,Winner,89.60817717206133
2026-M026-SUI-BIH,Switzerland,Bosnia and Herzegovina,Group Stage,Winner,88.35274542429285
2026-M080-ENG-COD,Congo DR,England,Round of 32,Loser,83.16326530612244
2026-M024-UZB-COL,Colombia,Uzbekistan,Group Stage,Winner,87.82771535580525
2026-M092-MEX-ENG,Mexico,England,Round of 16,Loser,92.37113402061856
2026-M101-FRA-ESP,Spain,France,Semi-final,Winner,84.91295938104449
2026-M103-FRA-ENG,France,England,Bronze final,Loser,90.94922737306842
2026-M038-ESP-KSA,Saudi Arabia,Spain,Group Stage,Loser,79.43444730077121
2026-M073-RSA-CAN,Canada,South Africa,Round of 32,Winner,80.51282051282051
2026-M044-JOR-ALG,Jordan,Algeria,Group Stage,Loser,74.44444444444444
2026-M012-SWE-TUN,Tunisia,Sweden,Group Stage,Loser,80.8108108108108
2026-M099-NOR-ENG,Norway,England,Quarter-final,Loser,86.5979381443299
2026-M087-COL-GHA,Ghana,Colombia,Round of 32,Loser,84.35897435897436
2026-M033-GER-CIV,Côte d'Ivoire,Germany,Group Stage,Loser,86.19153674832963
2026-M049-SCO-BRA,Scotland,Brazil,Group Stage,Loser,89.61538461538461
2026-M058-TUN-NED,Netherlands,Tunisia,Group Stage,Winner,92.66467065868264
2026-M021-GHA-PAN,Ghana,Panama,Group Stage,Winner,83.97790055248619
2026-M075-NED-MAR,Morocco,Netherlands,Round of 32,Winner,91.24579124579124
2026-M052-BIH-QAT,Qatar,Bosnia and Herzegovina,Group Stage,Loser,84.9015317286652
2026-M075-NED-MAR,Netherlands,Morocco,Round of 32,Loser,77.72151898734178
2026-M018-IRQ-NOR,Norway,Iraq,Group Stage,Winner,89.96350364963503
2026-M017-FRA-SEN,France,Senegal,Group Stage,Winner,88.35616438356165
2026-M026-SUI-BIH,Bosnia and Herzegovina,Switzerland,Group Stage,Loser,80.50139275766016
2026-M018-IRQ-NOR,Iraq,Norway,Group Stage,Loser,82.42074927953891
2026-M010-GER-CUW,Germany,Curaçao,Group Stage,Winner,88.76755070202809
2026-M006-AUS-TUR,Turkiye,Australia,Group Stage,Loser,91.82825484764544
2026-M056-ECU-GER,Ecuador,Germany,Group Stage,Winner,83.54755784061697
