match_id,team,opponent,stage,Result_category,passes_completed,passes_attempted,Passing_Accuracy
2026-M001-MEX-RSA,Mexico,South Africa,Group Stage,Winner,495,547,90.49360146252286
2026-M001-MEX-RSA,South Africa,Mexico,Group Stage,Loser,290,351,82.62108262108262
2026-M002-KOR-CZE,Korea Republic,Czechia,Group Stage,Winner,483,542,89.11439114391145
2026-M002-KOR-CZE,Czechia,Korea Republic,Group Stage,Loser,241,327,73.70030581039755
2026-M004-USA-PAR,USA,Paraguay,Group Stage,Winner,520,602,86.37873754152824
2026-M004-USA-PAR,Paraguay,USA,Group Stage,Loser,234,316,74.0506329113924
2026-M005-HAI-SCO,Haiti,Scotland,Group Stage,Loser,378,431,87.70301624129931
2026-M005-HAI-SCO,Scotland,Haiti,Group Stage,Winner,324,397,81.61209068010076
2026-M006-AUS-TUR,Australia,Turkiye,Group Stage,Winner,224,293,76.45051194539249
2026-M006-AUS-TUR,Turkiye,Australia,Group Stage,Loser,663,722,91.82825484764543
2026-M009-CIV-ECU,Côte d'Ivoire,Ecuador,Group Stage,Winner,413,471,87.68577494692144
2026-M009-CIV-ECU,Ecuador,Côte d'Ivoire,Group Stage,Loser,438,513,85.38011695906432
2026-M010-GER-CUW,Germany,Curaçao,Group Stage,Winner,569,641,88.76755070202809
2026-M010-GER-CUW,Curaçao,Germany,Group Stage,Loser,291,362,80.38674033149171
2026-M012-SWE-TUN,Sweden,Tunisia,Group Stage,Winner,290,356,81.46067415730337
2026-M012-SWE-TUN,Tunisia,Sweden,Group Stage,Loser,299,370,80.8108108108108
2026-M017-FRA-SEN,France,Senegal,Group Stage,Winner,516,584,88.35616438356165
2026-M017-FRA-SEN,Senegal,France,Group Stage,Loser,453,521,86.9481765834933
2026-M018-IRQ-NOR,Iraq,Norway,Group Stage,Loser,286,347,82.42074927953891
2026-M018-IRQ-NOR,Norway,Iraq,Group Stage,Winner,493,548,89.96350364963503
2026-M019-ARG-ALG,Argentina,Algeria,Group Stage,Winner,517,578,89.44636678200692
2026-M019-ARG-ALG,Algeria,Argentina,Group Stage,Loser,578,634,91.16719242902208
2026-M020-AUT-JOR,Austria,Jordan,Group Stage,Winner,499,587,85.00851788756388
2026-M020-AUT-JOR,Jordan,Austria,Group Stage,Loser,254,344,73.83720930232558
2026-M021-GHA-PAN,Ghana,Panama,Group Stage,Winner,304,362,83.97790055248619
2026-M021-GHA-PAN,Panama,Ghana,Group Stage,Loser,526,597,88.107202680067
2026-M022-ENG-CRO,England,Croatia,Group Stage,Winner,421,482,87.34439834024896
2026-M022-ENG-CRO,Croatia,England,Group Stage,Loser,399,459,86.9281045751634
2026-M024-UZB-COL,Uzbekistan,Colombia,Group Stage,Loser,267,334,79.94011976047905
2026-M024-UZB-COL,Colombia,Uzbekistan,Group Stage,Winner,469,534,87.82771535580525
2026-M026-SUI-BIH,Switzerland,Bosnia and Herzegovina,Group Stage,Winner,531,601,88.35274542429285
2026-M026-SUI-BIH,Bosnia and Herzegovina,Switzerland,Group Stage,Loser,289,359,80.50139275766016
2026-M027-CAN-QAT,Canada,Qatar,Group Stage,Winner,535,575,93.04347826086956
2026-M027-CAN-QAT,Qatar,Canada,Group Stage,Loser,107,166,64.45783132530121
2026-M028-MEX-KOR,Mexico,Korea Republic,Group Stage,Winner,360,432,83.33333333333334
2026-M028-MEX-KOR,Korea Republic,Mexico,Group Stage,Loser,510,593,86.00337268128162
2026-M029-BRA-HAI,Brazil,Haiti,Group Stage,Winner,484,551,87.84029038112523
2026-M029-BRA-HAI,Haiti,Brazil,Group Stage,Loser,338,402,84.07960199004975
2026-M030-SCO-MAR,Scotland,Morocco,Group Stage,Loser,403,460,87.60869565217392
2026-M030-SCO-MAR,Morocco,Scotland,Group Stage,Winner,612,676,90.53254437869822
2026-M031-TUR-PAR,Turkiye,Paraguay,Group Stage,Loser,594,666,89.1891891891892
2026-M031-TUR-PAR,Paraguay,Turkiye,Group Stage,Winner,92,171,53.80116959064327
2026-M032-USA-AUS,USA,Australia,Group Stage,Winner,465,531,87.57062146892656
2026-M032-USA-AUS,Australia,USA,Group Stage,Loser,238,308,77.27272727272727
2026-M033-GER-CIV,Germany,Côte d'Ivoire,Group Stage,Winner,578,634,91.16719242902208
2026-M033-GER-CIV,Côte d'Ivoire,Germany,Group Stage,Loser,387,449,86.19153674832963
2026-M035-NED-SWE,Netherlands,Sweden,Group Stage,Winner,398,447,89.03803131991052
2026-M035-NED-SWE,Sweden,Netherlands,Group Stage,Loser,377,438,86.0730593607306
2026-M036-TUN-JPN,Tunisia,Japan,Group Stage,Loser,305,376,81.11702127659575
2026-M036-TUN-JPN,Japan,Tunisia,Group Stage,Winner,535,593,90.21922428330524
2026-M038-ESP-KSA,Spain,Saudi Arabia,Group Stage,Winner,688,743,92.59757738896366
2026-M038-ESP-KSA,Saudi Arabia,Spain,Group Stage,Loser,309,389,79.43444730077121
2026-M040-NZL-EGY,New Zealand,Egypt,Group Stage,Loser,355,437,81.23569794050344
2026-M040-NZL-EGY,Egypt,New Zealand,Group Stage,Winner,486,544,89.33823529411765
2026-M041-NOR-SEN,Norway,Senegal,Group Stage,Winner,295,361,81.7174515235457
2026-M041-NOR-SEN,Senegal,Norway,Group Stage,Loser,447,504,88.69047619047619
2026-M042-FRA-IRQ,France,Iraq,Group Stage,Winner,553,604,91.55629139072848
2026-M042-FRA-IRQ,Iraq,France,Group Stage,Loser,431,502,85.85657370517929
2026-M043-ARG-AUT,Argentina,Austria,Group Stage,Winner,509,564,90.24822695035462
2026-M043-ARG-AUT,Austria,Argentina,Group Stage,Loser,416,475,87.57894736842105
2026-M044-JOR-ALG,Jordan,Algeria,Group Stage,Loser,201,270,74.44444444444444
2026-M044-JOR-ALG,Algeria,Jordan,Group Stage,Winner,590,661,89.25869894099849
2026-M046-PAN-CRO,Panama,Croatia,Group Stage,Loser,282,356,79.21348314606742
2026-M046-PAN-CRO,Croatia,Panama,Group Stage,Winner,445,518,85.9073359073359
2026-M047-POR-GHA,Portugal,Uzbekistan,Group Stage,Winner,577,639,90.29733959311424
2026-M047-POR-GHA,Uzbekistan,Portugal,Group Stage,Loser,278,347,80.11527377521614
2026-M048-COL-COD,Colombia,Congo DR,Group Stage,Winner,475,548,86.67883211678831
2026-M048-COL-COD,Congo DR,Colombia,Group Stage,Loser,236,315,74.92063492063492
2026-M049-SCO-BRA,Scotland,Brazil,Group Stage,Loser,466,520,89.61538461538461
2026-M049-SCO-BRA,Brazil,Scotland,Group Stage,Winner,571,615,92.84552845528455
2026-M050-MAR-HAI,Morocco,Haiti,Group Stage,Winner,495,557,88.8689407540395
2026-M050-MAR-HAI,Haiti,Morocco,Group Stage,Loser,212,265,80.0
2026-M051-SUI-CAN,Switzerland,Canada,Group Stage,Winner,389,471,82.59023354564756
2026-M051-SUI-CAN,Canada,Switzerland,Group Stage,Loser,275,353,77.90368271954674
2026-M052-BIH-QAT,Bosnia and Herzegovina,Qatar,Group Stage,Winner,461,521,88.48368522072937
